,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price
710,2022-11-17,2022-11-17 15:22:52.747000+05:30,12177,od_Ti03zZUK,-80.0, Bought 1.00 shares x Y (Rs. 80.00 each),Bought,1.0,Y,80.0
691,2022-11-17,2022-11-17 15:30:06.807000+05:30,12177,od_vS6eUuoO,-77.77, Bought 1.00 shares x Y (Rs. 77.00 each),Bought,1.0,Y,77.0
684,2022-11-17,2022-11-17 15:34:40.780000+05:30,12177,od_h7qObPI0,158.4, Sold 2.00 shares x Y (Rs. 80.00 each),Sold,2.0,Y,80.0
650,2022-11-17,2022-11-17 15:48:27.713000+05:30,12177,od_8KidsuJI,-85.0, Bought 2.00 shares x Y (Rs. 85.00 each),Bought,1.0,Y,85.0
642,2022-11-17,2022-11-17 16:02:54.555000+05:30,12177,od_4QbmlARo,82.0, Sold 1.00 shares x Y (Rs. 82.00 each),Sold,1.0,Y,82.0
641,2022-11-17,2022-11-17 16:02:54.555000+05:30,12177,od_tBSRJr6A,-82.82, Bought 1.00 shares x Y (Rs. 82.00 each),Bought,1.0,Y,82.0
633,2022-11-17,2022-11-17 16:15:42.766000+05:30,12177,od_lkPwysOj,83.0, Sold 1.00 shares x Y (Rs. 83.00 each),Sold,1.0,Y,83.0
629,2022-11-17,2022-11-17 16:17:59.234000+05:30,12177,od_PEDlnvxG,-166.0, Bought 2.00 shares x Y (Rs. 83.00 each),Bought,2.0,Y,83.0
620,2022-11-17,2022-11-17 16:24:39.856000+05:30,12177,od_xo8nm9og,82.17, Sold 1.00 shares x Y (Rs. 83.00 each),Sold,1.0,Y,83.0
619,2022-11-17,2022-11-17 16:24:42.694000+05:30,12177,od_Qpf77Nwg,-84.0, Bought 1.00 shares x Y (Rs. 84.00 each),Bought,1.0,Y,84.0
618,2022-11-17,2022-11-17 16:24:45.072000+05:30,12177,od_ouhTSc6J,82.17, Sold 1.00 shares x Y (Rs. 83.00 each),Sold,1.0,Y,83.0
615,2022-11-17,2022-11-17 16:26:59.203000+05:30,12177,od_C59V9PxN,-83.0, Bought 1.00 shares x Y (Rs. 83.00 each),Bought,1.0,Y,83.0
614,2022-11-17,2022-11-17 16:27:02.202000+05:30,12177,od_Dka45gsm,82.17, Sold 1.00 shares x Y (Rs. 83.00 each),Sold,1.0,Y,83.0
