INFO:strat7:2022-11-05 13:15:57,725:11526: Initialising event
INFO:strat7:2022-11-05 14:45:55,536:10256: Initialising event
INFO:strat7:2022-11-05 14:50:23,018:10256: Initialising event
INFO:strat7:2022-11-05 15:19:51,875:11680: Initialising event
INFO:strat7:2022-11-05 15:19:53,062:11679: Initialising event
WARNING:strat7:2022-11-05 15:19:56,683:11679: last_values_dict empty
INFO:strat7:2022-11-05 15:20:56,812:11678: Initialising event
WARNING:strat7:2022-11-05 15:21:00,209:11678: last_values_dict empty
INFO:strat7:2022-11-05 15:24:28,330:11680: Initialising event
WARNING:strat7:2022-11-05 15:24:32,845:11680: last_values_dict empty
INFO:strat7:2022-11-05 15:25:32,855:11679: Initialising event
WARNING:strat7:2022-11-05 15:25:37,316:11679: last_values_dict empty
INFO:strat7:2022-11-05 15:26:37,329:11678: Initialising event
WARNING:strat7:2022-11-05 15:26:41,898:11678: last_values_dict empty
INFO:strat7:2022-11-05 15:27:22,075:11680: Initialising event
WARNING:strat7:2022-11-05 15:27:25,715:11680: last_values_dict empty
INFO:strat7:2022-11-05 15:27:30,730:11679: Initialising event
WARNING:strat7:2022-11-05 15:27:33,690:11679: last_values_dict empty
INFO:strat7:2022-11-05 15:27:38,696:11678: Initialising event
WARNING:strat7:2022-11-05 15:27:41,457:11678: last_values_dict empty
INFO:strat7:2022-11-05 15:27:46,471:11677: Initialising event
WARNING:strat7:2022-11-05 15:27:50,770:11677: last_values_dict empty
INFO:strat7:2022-11-05 15:35:16,156:11680: Initialising event
WARNING:strat7:2022-11-05 15:35:22,674:11680: last_values_dict empty
INFO:strat7:2022-11-05 15:35:27,684:11679: Initialising event
INFO:strat7:2022-11-05 15:37:06,578:11680: Initialising event
WARNING:strat7:2022-11-05 15:37:11,803:11680: last_values_dict empty
INFO:strat7:2022-11-05 15:37:16,820:11679: Initialising event
WARNING:strat7:2022-11-05 15:37:21,340:11679: last_values_dict empty
INFO:strat7:2022-11-05 15:37:26,356:11678: Initialising event
WARNING:strat7:2022-11-05 15:37:28,329:11678: last_values_dict empty
INFO:strat7:2022-11-05 15:37:33,344:11677: Initialising event
WARNING:strat7:2022-11-05 15:37:39,394:11677: last_values_dict empty
INFO:strat7:2022-11-07 15:22:47,577:11726: Initialising event
INFO:strat7:2022-11-07 15:23:26,477:11726: Initialising event
INFO:strat7:2022-11-07 15:23:32,339:11727: Initialising event
INFO:strat7:2022-11-07 15:23:37,533:11728: Initialising event
INFO:strat7:2022-11-07 15:23:47,535:11729: Initialising event
INFO:strat7:2022-11-07 15:28:33,535:11726: Initialising event
INFO:strat7:2022-11-07 15:28:35,920:11727: Initialising event
INFO:strat7:2022-11-07 15:28:37,762:11728: Initialising event
INFO:strat7:2022-11-07 15:28:39,470:11729: Initialising event
INFO:strat7:2022-11-07 15:40:12,516:11726: Initialising event
WARNING:strat7:2022-11-07 15:40:18,649:11726: last_values_dict empty
INFO:strat7:2022-11-07 15:40:23,660:11727: Initialising event
WARNING:strat7:2022-11-07 15:40:30,323:11727: last_values_dict empty
INFO:strat7:2022-11-07 15:40:35,342:11728: Initialising event
WARNING:strat7:2022-11-07 15:40:40,781:11728: last_values_dict empty
INFO:strat7:2022-11-07 15:40:45,796:11729: Initialising event
WARNING:strat7:2022-11-07 15:40:50,988:11729: last_values_dict empty
