INFO:strat7:2022-11-21 15:42:38,054:12397: Initialising event
INFO:strat7:2022-11-21 15:42:51,905:12399: Initialising event
INFO:strat7:2022-11-21 15:46:07,106:12397: Initialising event
ERROR:strat7:2022-11-21 15:46:19,736:local variable 'yesfp_std' referenced before assignment
Traceback (most recent call last):
  File "D:\Synced folder 2\tradex_opinionTrading\codes_2\strat7.py", line 113, in __set_getoutsellpricediff
    self.getOutSellPriceDiff = max(5, yesfp_std)
UnboundLocalError: local variable 'yesfp_std' referenced before assignment
INFO:strat7:2022-11-21 15:46:19,741:12399: Initialising event
ERROR:strat7:2022-11-21 15:46:29,664:local variable 'yesfp_std' referenced before assignment
Traceback (most recent call last):
  File "D:\Synced folder 2\tradex_opinionTrading\codes_2\strat7.py", line 113, in __set_getoutsellpricediff
    self.getOutSellPriceDiff = max(5, yesfp_std)
UnboundLocalError: local variable 'yesfp_std' referenced before assignment
INFO:strat7:2022-11-21 15:46:29,692:12400: Initialising event
ERROR:strat7:2022-11-21 15:46:42,300:local variable 'yesfp_std' referenced before assignment
Traceback (most recent call last):
  File "D:\Synced folder 2\tradex_opinionTrading\codes_2\strat7.py", line 113, in __set_getoutsellpricediff
    self.getOutSellPriceDiff = max(5, yesfp_std)
UnboundLocalError: local variable 'yesfp_std' referenced before assignment
INFO:strat7:2022-11-21 15:46:42,307:123401: Initialising event
INFO:strat7:2022-11-21 15:47:58,551:12397: Initialising event
WARNING:strat7:2022-11-21 15:48:09,389:12397: last_values_dict empty
INFO:strat7:2022-11-21 15:48:15,309:12399: Initialising event
CRITICAL:strat7:2022-11-21 15:48:28,468:12399: No my_buy_price unavailable
WARNING:strat7:2022-11-21 15:48:30,145:12399: last_values_dict empty
INFO:strat7:2022-11-21 15:48:35,969:12400: Initialising event
WARNING:strat7:2022-11-21 15:48:46,626:12400: last_values_dict empty
INFO:strat7:2022-11-21 15:48:52,388:12401: Initialising event
CRITICAL:strat7:2022-11-21 15:49:05,579:12401: No my_buy_price unavailable
WARNING:strat7:2022-11-21 15:49:07,322:12401: last_values_dict empty
CRITICAL:strat7:2022-11-21 15:49:20,221:12397: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 15:49:21,842:12397: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 15:49:47,144:12400: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:51:15,177:12397: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:51:17,420:12397: Yes my_avgbuy_price unavailable
INFO:strat7:2022-11-21 15:51:48,564:12397: Initialising event
CRITICAL:strat7:2022-11-21 15:52:56,939:12397: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-21 15:52:58,699:12397: last_values_dict empty
INFO:strat7:2022-11-21 15:53:04,357:12399: Initialising event
CRITICAL:strat7:2022-11-21 15:53:18,859:12399: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-21 15:53:20,629:12399: last_values_dict empty
INFO:strat7:2022-11-21 15:53:26,208:12400: Initialising event
CRITICAL:strat7:2022-11-21 15:53:40,532:12400: No my_buy_price unavailable
WARNING:strat7:2022-11-21 15:53:42,127:12400: last_values_dict empty
INFO:strat7:2022-11-21 15:53:47,669:12401: Initialising event
CRITICAL:strat7:2022-11-21 15:54:02,049:12401: No my_buy_price unavailable
WARNING:strat7:2022-11-21 15:54:03,815:12401: last_values_dict empty
CRITICAL:strat7:2022-11-21 15:54:17,061:12397: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 15:54:20,010:12397: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 15:54:37,402:12399: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 15:54:38,948:12399: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:54:41,972:12399: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 15:54:43,541:12399: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:54:59,785:12400: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:55:03,285:12400: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:55:18,545:12401: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 15:55:20,773:12401: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 15:56:46,448:12397: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:56:48,557:12397: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:57:07,121:12399: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:57:10,799:12399: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:57:27,214:12400: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:57:30,028:12400: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 15:57:46,538:12401: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 15:57:48,725:12401: No my_buy_price unavailable
INFO:strat7:2022-11-21 15:58:46,720:12397: Initialising event
CRITICAL:strat7:2022-11-21 15:59:09,490:12397: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-21 15:59:11,161:12397: last_values_dict empty
INFO:strat7:2022-11-21 15:59:16,764:12399: Initialising event
CRITICAL:strat7:2022-11-21 15:59:31,945:12399: No my_buy_price unavailable
WARNING:strat7:2022-11-21 15:59:33,511:12399: last_values_dict empty
INFO:strat7:2022-11-21 15:59:39,059:12400: Initialising event
CRITICAL:strat7:2022-11-21 15:59:54,301:12400: Yes my_avgbuy_price unavailable
WARNING:strat7:2022-11-21 15:59:55,867:12400: last_values_dict empty
INFO:strat7:2022-11-21 16:00:01,426:12401: Initialising event
CRITICAL:strat7:2022-11-21 16:00:17,403:12397: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 16:00:20,174:12397: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 16:00:38,818:12399: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 16:00:42,422:12399: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 16:01:00,221:12400: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 16:01:03,944:12400: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 16:02:20,984:12397: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 16:02:23,683:12397: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 16:02:43,198:12399: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 16:02:46,695:12399: No my_buy_price unavailable
CRITICAL:strat7:2022-11-21 16:03:04,952:12400: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 16:03:08,476:12400: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 16:03:23,442:12401: Yes my_avgbuy_price unavailable
CRITICAL:strat7:2022-11-21 16:03:25,059:12401: No my_buy_price unavailable
WARNING:strat7:2022-11-21 16:03:27,639:12401: last_values_dict empty
CRITICAL:strat7:2022-11-21 16:04:42,116:12397: No my_buy_price unavailable
