,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price
4518,2022-11-11,2022-11-11 15:23:46.216000+05:30,11929,od_lOPoMDZF,-375.0, Bought 15.00 shares x Y (Rs. 25.00 each),Bought,15.0,Y,25.0
4509,2022-11-11,2022-11-11 15:28:24.580000+05:30,11929,od_lOPoMDZF,375.0, Cancelled 15.00 shares x Y (Rs. 25.00 each),Cancelled,15.0,Y,25.0
4508,2022-11-11,2022-11-11 15:28:25.900000+05:30,11929,od_aF3x9cc1,-540.0, Bought 15.00 shares x Y (Rs. 36.00 each),Bought,15.0,Y,36.0
4503,2022-11-11,2022-11-11 15:30:10.944000+05:30,11929,od_SsxividV,-825.0, Bought 15.00 shares x N (Rs. 55.00 each),Bought,15.0,N,55.0
4502,2022-11-11,2022-11-11 15:30:13.974000+05:30,11929,od_aF3x9cc1,540.0, Cancelled 15.00 shares x Y (Rs. 36.00 each),Cancelled,15.0,Y,36.0
4492,2022-11-11,2022-11-11 15:34:06.338000+05:30,11929,od_SsxividV,825.0, Cancelled 15.00 shares x N (Rs. 55.00 each),Cancelled,15.0,N,55.0
4491,2022-11-11,2022-11-11 15:34:07.673000+05:30,11929,od_wT2Wge9e,-840.0, Bought 15.00 shares x N (Rs. 56.00 each),Bought,15.0,N,56.0
4486,2022-11-11,2022-11-11 15:50:03.423000+05:30,11929,od_869XJK5G,114.0, Sold 2.00 shares x N (Rs. 57.00 each),Sold,2.0,N,57.0
4485,2022-11-11,2022-11-11 15:50:41.221000+05:30,11929,od_869XJK5G,114.0, Sold 2.00 shares x N (Rs. 57.00 each),Sold,2.0,N,57.0
4484,2022-11-11,2022-11-11 15:50:41.221000+05:30,11929,od_WWSJu17q,-115.14, Bought 2.00 shares x N (Rs. 57.00 each),Bought,2.0,N,57.0
4481,2022-11-11,2022-11-11 15:52:15.256000+05:30,11929,od_clq0mtPc,-106.0, Bought 2.00 shares x N (Rs. 53.00 each),Bought,2.0,N,53.0
4474,2022-11-11,2022-11-11 16:01:13.093000+05:30,11929,od_GZVrudwK,57.0, Sold 1.00 shares x N (Rs. 57.00 each),Sold,1.0,N,57.0
4473,2022-11-11,2022-11-11 16:03:58.770000+05:30,11929,od_clq0mtPc,106.0, Cancelled 2.00 shares x N (Rs. 53.00 each),Cancelled,2.0,N,53.0
4472,2022-11-11,2022-11-11 16:04:00.174000+05:30,11929,od_vW3cr6Xo,-159.0, Bought 3.00 shares x N (Rs. 53.00 each),Bought,3.0,N,53.0
4468,2022-11-11,2022-11-11 16:05:05.737000+05:30,11929,od_GZVrudwK,285.0, Sold 5.00 shares x N (Rs. 57.00 each),Sold,5.0,N,57.0
4467,2022-11-11,2022-11-11 16:05:44.550000+05:30,11929,od_vW3cr6Xo,159.0, Cancelled 3.00 shares x N (Rs. 53.00 each),Cancelled,3.0,N,53.0
4466,2022-11-11,2022-11-11 16:05:45.887000+05:30,11929,od_aCJtFGf2,-424.0, Bought 8.00 shares x N (Rs. 53.00 each),Bought,8.0,N,53.0
4465,2022-11-11,2022-11-11 16:05:55.183000+05:30,11929,od_GZVrudwK,285.0, Sold 5.00 shares x N (Rs. 57.00 each),Sold,5.0,N,57.0
4464,2022-11-11,2022-11-11 16:07:18.514000+05:30,11929,od_aCJtFGf2,424.0, Cancelled 8.00 shares x N (Rs. 53.00 each),Cancelled,8.0,N,53.0
4463,2022-11-11,2022-11-11 16:07:19.865000+05:30,11929,od_NVVD4Ywk,-689.0, Bought 13.00 shares x N (Rs. 53.00 each),Bought,13.0,N,53.0
4461,2022-11-11,2022-11-11 16:08:31.779000+05:30,11929,od_GZVrudwK,114.0, Sold 2.00 shares x N (Rs. 57.00 each),Sold,2.0,N,57.0
4460,2022-11-11,2022-11-11 16:08:55.292000+05:30,11929,od_NVVD4Ywk,689.0, Cancelled 13.00 shares x N (Rs. 53.00 each),Cancelled,13.0,N,53.0
4459,2022-11-11,2022-11-11 16:08:57.254000+05:30,11929,od_Clvm8xRO,-855.0, Bought 15.00 shares x N (Rs. 57.00 each),Bought,15.0,N,57.0
4457,2022-11-11,2022-11-11 16:10:25.808000+05:30,11929,od_Clvm8xRO,855.0, Cancelled 15.00 shares x N (Rs. 57.00 each),Cancelled,15.0,N,57.0
4456,2022-11-11,2022-11-11 16:10:27.317000+05:30,11929,od_9VqRfT4O,-924.15, Bought 15.00 shares x N (Rs. 61.00 each),Bought,15.0,N,61.0
4450,2022-11-11,2022-11-11 16:13:35.378000+05:30,11929,od_lhlbIpAV,-600.0, Bought 15.00 shares x Y (Rs. 40.00 each),Bought,15.0,Y,40.0
4449,2022-11-11,2022-11-11 16:15:07.440000+05:30,11929,od_lhlbIpAV,600.0, Cancelled 15.00 shares x Y (Rs. 40.00 each),Cancelled,15.0,Y,40.0
4406,2022-11-11,2022-11-11 16:41:00.251000+05:30,11929,od_Qf6Ts4zM,-600.4, Bought 15.00 shares x Y (Rs. 40.00 each),Bought,15.0,Y,40.0
4405,2022-11-11,2022-11-11 16:41:04.765000+05:30,11929,od_Qf6Ts4zM,560.0, Cancelled 14.00 shares x Y (Rs. 40.00 each),Cancelled,14.0,Y,40.0
4404,2022-11-11,2022-11-11 16:41:06.112000+05:30,11929,od_tlzn0nvY,-600.0, Bought 15.00 shares x Y (Rs. 40.00 each),Bought,15.0,Y,40.0
4398,2022-11-11,2022-11-11 16:42:59.293000+05:30,11929,od_tlzn0nvY,600.0, Cancelled 15.00 shares x Y (Rs. 40.00 each),Cancelled,15.0,Y,40.0
4397,2022-11-11,2022-11-11 16:43:01.742000+05:30,11929,od_O3ytAP6o,40.59, Sold 1.00 shares x Y (Rs. 41.00 each),Sold,1.0,Y,41.0
4231,2022-11-11,2022-11-11 17:54:54.577000+05:30,11929,od_qjOojPVK,62.0, Sold 1.00 shares x N (Rs. 62.00 each),Sold,1.0,N,62.0
4230,2022-11-11,2022-11-11 17:55:47.129000+05:30,11929,od_4izp0Ums,-60.0, Bought 1.00 shares x N (Rs. 60.00 each),Bought,1.0,N,60.0
4223,2022-11-11,2022-11-11 17:58:09.146000+05:30,11929,od_qjOojPVK,868.0, Sold 14.00 shares x N (Rs. 62.00 each),Sold,14.0,N,62.0
4222,2022-11-11,2022-11-11 17:59:12.622000+05:30,11929,od_rAqfiVPZ,-375.0, Bought 15.00 shares x Y (Rs. 25.00 each),Bought,15.0,Y,25.0
