,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price,value,cumvalue,price+5,if_win_price,net_qty,if_win_price_times_qty
18,2023-03-03,2023-03-03 13:13:56.331000+05:30,24611,od_1677385001535321,-250.0," Bought 5.00 shares x Y (Rs. 50.00 each) , Limit Order",Bought,5.0,Y,50.0,250.0,-250.0,55.0,50.0,5.0,250.0
17,2023-03-03,2023-03-03 13:14:12.981000+05:30,24611,od_1677385001535336,-200.0," Bought 5.00 shares x N (Rs. 40.00 each) , Limit Order",Bought,5.0,N,40.0,200.0,-450.0,45.0,60.0,5.0,300.0
16,2023-03-03,2023-03-03 13:19:08.625000+05:30,24611,od_1677385001535321,250.0," Cancelled 5.00 shares x Y (Rs. 50.00 each) , ",Cancelled,5.0,Y,50.0,250.0,-200.0,55.0,50.0,-5.0,-250.0
15,2023-03-03,2023-03-03 13:19:12.226000+05:30,24611,od_1677385001535532,-295.0," Bought 5.00 shares x Y (Rs. 59.00 each) , Limit Order",Bought,5.0,Y,59.0,295.0,-495.0,64.0,41.0,5.0,205.0
14,2023-03-03,2023-03-03 13:19:33.820000+05:30,24611,od_1677385001535556,-155.0," Bought 5.00 shares x N (Rs. 31.00 each) , Limit Order",Bought,5.0,N,31.0,155.0,-650.0,36.0,69.0,5.0,345.0
13,2023-03-03,2023-03-03 13:21:10.479000+05:30,24611,od_1677385001535532,59.0," Cancelled 1.00 shares x Y (Rs. 59.00 each) , ",Cancelled,1.0,Y,59.0,59.0,-591.0,64.0,41.0,-1.0,-41.0
12,2023-03-03,2023-03-03 13:21:11.756000+05:30,24611,od_1677385001535628,-232.0," Bought 4.00 shares x Y (Rs. 58.00 each) , Limit Order",Bought,4.0,Y,58.0,232.0,-823.0,63.0,42.0,4.0,168.0
11,2023-03-03,2023-03-03 13:21:31.321000+05:30,24611,od_1677385001535649,-160.0," Bought 5.00 shares x N (Rs. 32.00 each) , Limit Order",Bought,5.0,N,32.0,160.0,-983.0,37.0,68.0,5.0,340.0
10,2023-03-03,2023-03-03 13:23:17.672000+05:30,24611,od_1677385001535739,-265.0," Bought 5.00 shares x Y (Rs. 53.00 each) , Limit Order",Bought,5.0,Y,53.0,265.0,-1248.0,58.0,47.0,5.0,235.0
9,2023-03-03,2023-03-03 13:23:35.215000+05:30,24611,od_1677385001535649,32.0," Cancelled 1.00 shares x N (Rs. 32.00 each) , ",Cancelled,1.0,N,32.0,32.0,-1216.0,37.0,68.0,-1.0,-68.0
8,2023-03-03,2023-03-03 13:23:36.722000+05:30,24611,od_1677385001535765,-185.0," Bought 5.00 shares x N (Rs. 37.00 each) , Limit Order",Bought,5.0,N,37.0,185.0,-1401.0,42.0,63.0,5.0,315.0
7,2023-03-03,2023-03-03 13:25:14.289000+05:30,24611,od_1677385001535839,-245.0," Bought 5.00 shares x Y (Rs. 49.00 each) , Limit Order",Bought,5.0,Y,49.0,245.0,-1646.0,54.0,51.0,5.0,255.0
6,2023-03-03,2023-03-03 13:25:30.774000+05:30,24611,od_1677385001535851,-205.0," Bought 5.00 shares x N (Rs. 41.00 each) , Limit Order",Bought,5.0,N,41.0,205.0,-1851.0,46.0,59.0,5.0,295.0
5,2023-03-03,2023-03-03 13:27:11.670000+05:30,24611,od_1677385001535921,-230.0," Bought 5.00 shares x Y (Rs. 46.00 each) , Limit Order",Bought,5.0,Y,46.0,230.0,-2081.0,51.0,54.0,5.0,270.0
4,2023-03-03,2023-03-03 13:27:30.315000+05:30,24611,od_1677385001535938,-220.0," Bought 5.00 shares x N (Rs. 44.00 each) , Limit Order",Bought,5.0,N,44.0,220.0,-2301.0,49.0,56.0,5.0,280.0
3,2023-03-03,2023-03-03 13:29:09.699000+05:30,24611,od_1677385001536032,-175.0," Bought 5.00 shares x Y (Rs. 35.00 each) , Limit Order",Bought,5.0,Y,35.0,175.0,-2476.0,40.0,65.0,5.0,325.0
2,2023-03-03,2023-03-03 13:29:27.048000+05:30,24611,od_1677385001535938,220.0," Cancelled 5.00 shares x N (Rs. 44.00 each) , ",Cancelled,5.0,N,44.0,220.0,-2256.0,49.0,56.0,-5.0,-280.0
1,2023-03-03,2023-03-03 13:29:28.388000+05:30,24611,od_1677385001536073,-275.0," Bought 5.00 shares x N (Rs. 55.00 each) , Limit Order",Bought,5.0,N,55.0,275.0,-2531.0,60.0,45.0,5.0,225.0
0,2023-03-03,2023-03-03 13:31:06.809000+05:30,24611,,2675.0,Settled (Rs. 2675.00 credited),Settled,,,,,144.0,,,,
